Número do Documento;Nome da conta;Tipo;Grupo Econômico: Grupo Econômico;RET;Data de Inclusão;Marca;Representante;Situação;Setor;País de entrega;ICMS;Limite de Crédito Moeda;Limite de Crédito;Ramo de Atividade;Segmento;Situação Financeira;Código Externo
00.528.843/0001-65;J M M QUINTANS & CIA LTDA - ME;Cliente MI;UNIFORMA FARDAMENTOS;0;24/07/2020;UNIFORMA FARDAMENTOS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;3000;;;Liberado;C18950
25.094.104/0001-33;THAIS TORRES ARAUJO 05440405380;Cliente MI;BAZZAR;0;20/11/2020;BAZZAR;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C19285
37.251.269/0001-50;MARIA LUZIA ARAUJO FREITAS;Cliente MI;CAROLE & CARMELA;0;30/09/2020;CAROLE & CARMELA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;3000;;;Liberado;C19174
31.454.658/0003-69;NJ IND COM CONF EIRELI - EPP;Cliente MI;ATHOS;0;04/02/2021;ATHOS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C19449
17.544.868/0001-55;ROSENILDA BRAGA NERES;Cliente MI;KIDS CLUB;0;03/02/2021;KIDS FASHION;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;5000;Marca;Infantil;Liberado;C19440
32.854.381/0001-62;LE HIT IND DE CONF LTDA;Cliente MI;LE HIT;0;02/02/2021;LE HIT;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Outros;BRASIL;7;BRL;0;Confecção PL;Feminino;Liberado;C19436
29.736.262/0001-09;NATHALIA GRIPP COUTO PETRONE LTDA;Cliente MI;LASSO LINGERIE;0;18/01/2021;LASSO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;50000;Confecção PL;Feminino;Liberado;C19385
37.804.256/0001-61;KATIA E REVIA COM DE EQU DE PR IND;Cliente MI;KREPI;0;12/01/2021;KREPI;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C19372
12.431.179/0001-10;LASSO LINGERIE IND E COM DE CONF;Cliente MI;LASSO LINGERIE;0;11/12/2020;LASSO LINGERIE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C19327
33.565.750/0001-60;A. K. VERISSIMO DE OLIVEIRA;Cliente MI;KM3;0;17/05/2021;KM3;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;5000;;;Liberado;C19752
34.739.301/0001-53;FERNANDA ABIGAIL BRITO SA;Cliente MI;FERNANDA ABIGAIL BRITO SA;0;24/03/2021;TULUM CAMISARIA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;1000;;;Liberado;C19613
36.969.142/0001-09;BRENA JESSICA TELES DE SA MOREIRA;Cliente MI;BRENA JESSICA TELES DE SA MOREIRA;0;24/03/2021;BRENA JESSICA TELES DE SA MOREIRA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C19612
00.464.551/0001-06;M. G. GONCALVES & CIA LTDA;Cliente MI;NG;0;14/09/2000;NG;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;500000;;;Liberado;C5603
03.672.777/0001-90;MALHARIA PAUL. IND E COM DE TEC EIR;Cliente MI;MALHARIA PAULISTA;0;21/07/2021;MALHARIA PAULISTA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Bloqueado;C20049
27.360.827/0001-62;ARYANA LUSHESE L. F.;Cliente MI;LALACE;0;14/06/2021;LALACÊ;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;2000;;;Liberado;C19865
23.727.191/0001-93;M ISEUDA CONF. IND. E COM. LTDA ME;Cliente MI;REBUALF;0;11/08/2021;REBUALF;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;200000;;;Liberado;C20163
11.008.634/0001-07;DINART IND E COM DE CON LTDA;Cliente MI;MR2;0;18/08/2017;MR2;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;40000;Confecção PL;Masculino;Liberado;C14703
73.403.644/0001-02;TAKE A NAP IND E COM DE ROUPAS LTDA;Cliente MI;TAKE A NAP;0;06/07/2017;TAKE A NAP;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;20000;Confecção PL + Marca Própria;Masculino;Liberado;C7837
34.233.463/0001-15;FRANCISCO RAMOS DE ALMEIDA;Cliente MI;FRANCISCO RAMOS DE ALMEIDA;0;23/07/2021;SO AME;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20075
28.819.380/0001-00;KATHERINE L. M, BEZERRA;Cliente MI;VUT;0;20/09/2021;VUT;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20357
08.882.423/0001-94;D&D COMERCIO DE CONF. LTDA;Cliente MI;DEEP;0;25/07/2016;D & D CONFECÇÕES;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;40000;;;Liberado;C14923
32.159.516/0001-70;S7 REPRESENTACOES EIRELI;Cliente MI;S7 REPRESENTACOES EIRELI;0;09/09/2021;S7 REPRESENTACOES;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20314
10.406.806/0003-08;CHIKA LOCA COM. DE ROU.;Cliente MI;BEETOP;0;22/11/2021;BEETOP;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20563
39.446.642/0001-54;CÍCERA VIEIRA ANDRADE;Cliente MI;LAS MENINAS;0;17/11/2021;LAS MENINAS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20552
32.387.784/0001-49;MILENA PINHO DE OLIVEIRA;Cliente MI;DI MOCINHAS;0;17/11/2021;DI MOCINHAS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20551
01.930.330/0001-49;FRUTYS BRAZIL IND COM DE CONF EIR;Cliente MI;FRUTYS BRAZIL;0;01/11/2021;FRUTYS BRAZIL;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;50000;;;Liberado;C20512
19.505.674/0001-76;LIGIA MARIA DE BRITO SOUSA;Cliente MI;LINDINHA;0;07/10/2021;LINDINHA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;5000;;;Liberado;C20414
19.391.303/0001-00;CAVALCANTI & LIMA;Cliente MI;CAVALCANTI TECIDOS;0;07/10/2021;CAVALCANTI TECIDOS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;50000;Confecção PL + Marca Própria;Feminino;Liberado;C20413
22.024.361/0001-00;F B CONFECCAO LTDA;Cliente MI;F B;0;07/10/2021;F B;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20410
12.571.376/0001-35;R.S PINHEIRO CONFECCOES LTDA;Cliente MI;FORTMIX;0;26/10/2015;FORTMIX;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;10000;;;Liberado;C14047
08.089.029/0001-01;GOYA IND E COM DE CONF LTDA EPP;Cliente MI;"JOY;JOLIE";0;11/05/2016;JOLIE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C14658
44.334.286/0001-17;AR MARTINS COM. DE CONF. LTDA;Cliente MI;VANILLA;0;09/02/2022;VANILLA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;50000;Confecção PL;Feminino;Liberado;C20819
42.621.041/0001-45;DANILO OLI. VIANA CONF.;Cliente MI;MUNDO RAY;0;02/02/2022;MUNDO RAY;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C20790
36.031.350/0001-62;DIS INDUSTRIA;Cliente MI;PATU;0;02/02/2022;PATU;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;13000;Magazine;Magazine;Liberado;C20789
11.660.917/0001-39;JOSE WILSON GOMES S ME;Cliente MI;ZANGS;0;29/04/2022;ZANGS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;50000;;;Liberado;C21079
41.424.839/0001-34;JH COMERCIO DE CONFECCOES LTDA;Cliente MI;KYREFH;0;06/04/2022;PACHECAR BRAND;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C21010
26.424.647/0004-87;RP COMERCIO DE CONF LTDA;Cliente MI;REPUBLIC PARADISE;0;06/04/2022;REPUBLIC PARADISE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;40000;;;Liberado;C21009
61.817.656/0001-96;MATTOS E GONZALLES;Cliente MI;MI BELLO;0;04/04/2022;MIBELLO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C20994
27.425.828/0001-48;H M P LOPES IND.;Cliente MI;H M P;0;18/05/2022;H M P;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;60000;;;Liberado;C21148
10.698.911/0001-98;CANUTO LTDA;Cliente MI;CANUTO;0;27/07/2022;CASAS DO SUL;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C21410
26.424.647/0001-34;RP COM DE CONF LTDA;Cliente MI;RP MENSWEAR;0;27/03/2018;RP MENSWEAR;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;40000;;;Liberado;C16933
30.103.658/0001-90;MAIND CONFECÇÕES LTDA - ME;Cliente MI;MAIND;0;07/07/2022;MAIND;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;15000;;;Liberado;C21341
29.377.815/0001-76;VS IND. E COM. DE CONF. LTDA;Cliente MI;VIA STYLUS;0;30/09/2022;VIA STYLUS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C21702
10.857.538/0001-70;AMANDA COSTA DA SILVA-ME;Cliente MI;ZANGS;0;09/09/2022;ZANGS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;40000;;;Liberado;C21620
32.960.102/0001-45;ISADORA MARIA DANTAS SILVA CA;Cliente MI;ISADORA MARIA DANTAS SILVA CA;0;16/11/2022;FANT;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C21836
18.312.245/0001-10;ALIX BRAND CONFECCOES;Cliente MI;ALIX BRAND;0;26/10/2022;ALIX BRAND;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;10000;;;Liberado;C21787
15.537.572/0001-81;VOLEIO INDÚSTRIA DE CONFECÇÕES LTDA;Cliente MI;BOMACHE;0;18/10/2022;BOMACHE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;80000;;;Liberado;C21756
08.998.727/0001-11;GETULIO G. ARAUJO JUNIOR;Cliente MI;Z I E P JEANS;0;26/01/2023;Z I E P JEANS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;10000;;;Liberado;C22112
07.452.335/0001-90;PSA INDUSTRIA E COM.DE CONFEC. LTDA;Cliente MI;PSA;0;26/01/2023;PSA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C22109
44.159.064/0001-05;LIBELULAH E GUTO COMERCIO;Cliente MI;LIBELULAH E GUTO;0;26/01/2023;LIBELULAH E GUTO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22107
41.297.571/0001-17;CALEBE FRAGOSO SEQUEIRA;Cliente MI;CANOA;0;25/01/2023;CANOA COMERCIO DE VESTUARIO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22095
12.890.324/0001-21;LINHARES ARARUNA INDUSTRIA;Cliente MI;LINHARES ARARUNA;0;02/03/2023;LINHARES ARARUNA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C22281
40.098.747/0001-49;RAQUEL DE QUEIROZ GOMES;Cliente MI;RAQUEL GOMES DA SILVA - ME;0;06/04/2023;RAQUEL;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22494
31.612.506/0001-85;FABIO P. DE QUEIROZ COM. DE CONF.;Cliente MI;BKT;0;04/04/2023;BKT;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;70000;;;Liberado;C22488
05.802.457/0001-33;IMÃOS RAD CONFECCOES LTDA;Cliente MI;RAD;0;03/04/2023;RAD VOLENTIERE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C22476
36.949.748/0001-82;SAVAGE MENSWEAR CONFEC.;Cliente MI;SAVAGE;0;03/04/2023;SAVAGE MENSWEAR;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;25000;;;Liberado;C22473
08.801.867/0001-58;BOOKMAKER SERV. DE ASSE.;Cliente MI;BOOKMAKER;0;29/03/2023;BOOKMAKER;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;25000;;;Liberado;C22448
39.577.834/0001-08;GREKKES IND E COM DE CONF LTDA;Cliente MI;GREKKS;0;29/03/2023;GREKKES;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;20000;Confecção PL;Masculino;Liberado;C22447
08.562.400/0002-83;S C N LOPES CONFEC.;Cliente MI;SOYLEH;0;17/03/2023;SOYLEH;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22365
07.966.463/0001-51;JO IOLA COM. DE VEST. E ACESS. LTDA;Cliente MI;JO - IOLA;0;02/06/2023;JO IOLA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C22783
46.812.991/0001-08;GABRIELA LEONIDAS;Cliente MI;LET YOURSELF SHINE;0;10/05/2023;LET YOURSELF SHINE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22638
34.449.651/0001-85;D. A. DE SOUSA;Cliente MI;D. A. DE SOUSA;0;09/05/2023;D. A. DE SOUSA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;100000;;;Liberado;C22631
17.102.186/0001-92;COISAS DE MARIA COMERCIO;Cliente MI;COISAS DI MARIA;0;05/05/2023;COISAS DE MARIA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22619
11.581.675/0037-07;YANN COMERCIO E INDUSTRIA;Cliente MI;AGUA DE CÔCO;0;28/04/2023;AGUA DE COCO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;12;BRL;160000;Marca;Feminino;Liberado;C22588
15.466.091/0001-22;BR GLOBAL;Cliente MI;BLACK HILL;0;18/04/2023;BR GLOBAL;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;43000;;;Liberado;C22550
29.736.262/0003-62;NATHALIA GRIPP COUTO PETRONE LTDA;Cliente MI;LASSO LINGERIE;0;17/04/2023;LASSO LINGERIE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;50000;;;Liberado;C22542
41.412.412/0001-16;VERINHA NUNES DA COSTA;Cliente MI;VERINHA NUNES;0;17/07/2023;VERINHA NUNES;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;50000;;;Liberado;C22991
46.110.079/0001-04;SYA MODA LTDA;Cliente MI;SYA BEACHWEAR;0;26/06/2023;SYA BEACHWEAR;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C22894
12.185.976/0001-65;F CESAR DE ARAUJO;Cliente MI;INGLOB;0;18/08/2023;INGLOB;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23166
11.273.951/0001-50;FRANCISCO HORACIO V NETO;Cliente MI;CAMISARIA RICA;0;31/08/2023;CAMISARIA RICA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;10000;;;Liberado;C23239
20.295.105/0001-22;CROW TRENDE CONF LTDA;Cliente MI;CROW TREND;0;28/08/2023;CROW TREND;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;10000;Confecção PL;Masculino;Liberado;C23208
36.644.795/0002-07;DOCE CAJU BRASIL CONF. LTDA;Cliente MI;DOCE CAJU BRASIL;0;19/10/2023;DOCE CAJU BRASIL;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Vestuário;BRASIL;7;BRL;40000;Confecção PL;Infantil;Liberado;C23484
41.947.019/0001-27;DANTAS IND E COM DE CONF LTDA;Cliente MI;FLOR DO MAMULENGO;0;13/10/2023;FLOR DO MAMULENGO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23472
22.618.181/0001-57;COSTA COMERCIO DE CONF. LTDA;Cliente MI;FLOR DO MAMULENGO;0;13/10/2023;FLOR DO MAMULENGO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23473
01.405.279/0003-18;ESPACO CULT. E REST. CDF LTDA;Cliente MI;CANTINHO DO FRANGO;0;08/12/2023;CANTINHO BARBEARIA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23677
27.282.780/0001-66;SINARA COSTA OLIV. FECHINE;Cliente MI;AMORILO E THIGAIA;0;06/12/2023;AMORILO E THIGAIA COM DE ROUPAS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C23663
28.583.357/0001-69;J DELU IND E COM DE CONF LTDA;Cliente MI;J'DELU;0;24/11/2023;J DELU;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23618
38.303.003/0001-77;THOR MENSWEAR IND. CON.;Cliente MI;THOR MENSWEAR;0;19/01/2024;THOR MENSWEAR;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;50000;;;Liberado;C23780
32.691.778/0001-80;ELLO SUBLIME IND E COM DE CONF. LTDA;Cliente MI;ELLO SUBLIME;0;17/01/2024;ELLO SUBLIME;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23753
32.101.298/0001-12;AVS NOVELINO COM E IND LTDA;Cliente MI;MANIAS DI XIQUINHA;0;15/01/2024;MANIAS DI XIQUINHA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C23740
14.391.766/0001-59;ROMADS COM. DE VEST. E ACES. MASC.;Cliente MI;ROMADS;0;05/03/2024;ROMADS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;0;;;Liberado;C24059
01.236.954/0001-60;ROJANIA CLAUBIA DE BARROS LOPES ME;Cliente MI;AMOR DE 2;0;09/02/2024;AMOR DE 2;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;30000;;;Liberado;C23915
50.923.883/0001-80;M STEFANI DA SILVA QUEIRAZ - ME;Cliente MI;TNY;0;01/02/2024;TNY;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;6000;;;Liberado;C23866
35.000.926/0001-61;J G CAMPELO CONFECCOES LTDA;Cliente MI;CAMPELO;0;14/03/2024;CAMPELO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;60000;;;Liberado;C24096
47.850.371/0001-26;ROMULO OLIVEIRA DE AZEVEDO;Cliente MI;ROMULO OLIVEIRA;0;14/05/2024;ROMULO OLIVEIRA;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;4000;;;Liberado;C24379
28.481.288/0001-82;TACIELLE BARROS CARDOZO;Cliente MI;CAUNT JEANS;0;03/05/2024;CAUNT JEANS;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;5000;;;Liberado;C24333
03.717.412/0001-35;M Z IMP. E EXP. LTDA;Cliente MI;ELDORADO;0;06/06/2024;ELDORADO;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;Varejo;BRASIL;7;BRL;200000;Atacado;Revenda de Tecido;Liberado;C24480
07.951.171/0001-45;RECAMONDE ROUPAS PROF. LTDA;Cliente MI;RECAMONDE;0;24/05/2024;RECAMONDE;LARISSA CASTELO BRANCO REPRESENTACOES LTDA;Inativo;;BRASIL;7;BRL;20000;;;Liberado;C24434
